repo_owner,repo_name,Number of Components,Total Vulnerabilities,Low,Medium,High,Critical,Category,CWE Tags
10up,action-repo-automator,50,0,0,0,0,0,Code Review,[]
1Password,load-secrets-action,21,3,2,0,0,1,Security,"['CWE-506', 'CWE-200', 'CWE-284']"
42Crunch,api-security-audit-action,94,1,0,1,0,0,Testing,['CWE-1333']
8398a7,action-slack,59,2,0,1,1,0,Chat,"['CWE-918', 'CWE-200']"
AlexSim93,pull-request-analytics-action,79,3,3,0,0,0,Monitoring,"['CWE-200', 'CWE-284', 'CWE-200']"
Anmol-Baranwal,DevtoGitHub,2,0,0,0,0,0,Utilities,[]
Apple-Actions,download-provisioning-profiles,48,9,1,4,4,0,Mobile,"['CWE-74', 'CWE-20', 'N/A', 'CWE-1333', 'CWE-327', 'CWE-287', 'CWE-287', 'CWE-1333', 'CWE-400']"
ArtiomTr,jest-coverage-report-action,348,12,1,4,5,2,Monitoring,"['CWE-184', 'CWE-400', 'CWE-400', 'CWE-506', 'CWE-1321', 'CWE-1333', 'CWE-835', 'CWE-285', 'CWE-674', 'N/A', 'CWE-74', 'CWE-1333', 'CWE-1333']"
Azure,cli,26,0,0,0,0,0,Deployment,[]
Azure,k8s-deploy,214,0,0,0,0,0,Deployment,[]
Azure,k8s-lint,17,0,0,0,0,0,Code Review,[]
Azure,k8s-set-context,132,4,0,2,1,1,Deployment,"['CWE-1333', 'CWE-94', 'CWE-918', 'CWE-1321']"
Azure,mysql,44,4,0,1,1,2,Deployment,"['CWE-74', 'CWE-400', 'CWE-522', 'CWE-94']"
Azure,pipelines,8,0,0,0,0,0,Deployment,[]
Balastrong,chess-stats-action,9,1,0,1,0,0,Utilities,['CWE-74']
BetaHuhn,deploy-to-vercel-action,161,9,0,2,6,1,Deployment,"['CWE-697', 'CWE-697', 'N/A', 'N/A', 'CWE-1333', 'CWE-1321', 'CWE-173', 'CWE-400', 'CWE-1333']"
Bhacaz,docs-as-code-confluence,49,1,0,1,0,0,Utilities,['CWE-1333']
Chocobo1,setup-ccache-action,83,0,0,0,0,0,Utilities,[]
CircleCI-Public,trigger-circleci-pipeline-action,36,3,0,3,0,0,Deployment,"['CWE-352', 'CWE-20', 'CWE-200']"
Cyberbeni,install-swift-tool,432,2,1,0,1,0,Utilities,"['CWE-770', 'CWE-1333']"
CycloneDX,gh-node-module-generatebom,9,0,0,0,0,0,Security,[]
DataDog,synthetics-ci-github-action,856,4,0,2,2,0,Testing,"['CWE-789', 'CWE-400', 'CWE-1333', 'CWE-1333']"
DavideViolante,pr-reviews-reminder-action,20,0,0,0,0,0,Code Review,[]
DeLaGuardo,setup-clojure,65,0,0,0,0,0,Utilities,[]
DependencyTrack,gh-upload-sbom,4,0,0,0,0,0,Security,[]
DevCycleHQ,feature-flag-code-usage-action,419,1,0,0,1,0,Code Review,['CWE-1333']
DevCycleHQ,feature-flag-pr-insights-action,403,1,0,0,1,0,Code Review,['CWE-1333']
DopplerHQ,cli-action,15,3,3,0,0,0,Security,"['CWE-200', 'CWE-284', 'CWE-200']"
ExpediaGroup,github-helpers,70,0,0,0,0,0,Utilities,[]
ExpediaGroup,spinnaker-pipeline-trigger,755,10,0,2,5,3,Project Management,"['CWE-184', 'CWE-184', 'CWE-184', 'CWE-94', 'CWE-400', 'CWE-1333', 'CWE-1333', 'CWE-400', 'CWE-1333', 'CWE-476']"
GrantBirki,git-diff-action,47,0,0,0,0,0,Utilities,[]
GreenTF,upload-thunderstore-package,6,0,0,0,0,0,Publishing,[]
HardNorth,github-version-generate,37,0,0,0,0,0,Publishing,[]
HatsuneMiku3939,direnv-action,71,0,0,0,0,0,Testing,[]
