repo_owner,repo_name,Repository Full Name,File,Total Vulnerabilities,No Impact,Low,Medium,High,Critical,CWE Tags,Category
10up,action-repo-automator,10up/action-repo-automator,10up-action-repo-automator-results.json,2,0,0,0,2,0,['cwe-020'],Code Review
1Password,load-secrets-action,1Password/load-secrets-action,1Password-load-secrets-action-results.json,2,0,0,2,0,0,"['cwe-020', 'cwe-078', 'cwe-088']",Security
42Crunch,api-security-audit-action,42Crunch/api-security-audit-action,42Crunch-api-security-audit-action-results.json,0,0,0,0,0,0,[],Testing
8398a7,action-slack,8398a7/action-slack,8398a7-action-slack-results.json,0,0,0,0,0,0,[],Chat
AlexSim93,pull-request-analytics-action,AlexSim93/pull-request-analytics-action,AlexSim93-pull-request-analytics-action-results.json,2,0,0,1,1,0,['cwe-020'],Monitoring
Anmol-Baranwal,DevtoGitHub,Anmol-Baranwal/DevtoGitHub,Anmol-Baranwal-DevtoGitHub-results.json,1,0,0,1,0,0,['cwe-020'],Utilities
Apple-Actions,download-provisioning-profiles,Apple-Actions/download-provisioning-profiles,Apple-Actions-download-provisioning-profiles-results.json,0,0,0,0,0,0,[],Mobile
ArtiomTr,jest-coverage-report-action,ArtiomTr/jest-coverage-report-action,ArtiomTr-jest-coverage-report-action-results.json,9,0,0,0,9,0,"['cwe-020', 'cwe-080', 'cwe-116', 'cwe-367']",Monitoring
Azure,cli,Azure/cli,Azure-cli-results.json,1,0,0,0,1,0,"['cwe-377', 'cwe-378']",Deployment
Azure,k8s-deploy,Azure/k8s-deploy,Azure-k8s-deploy-results.json,6,0,0,0,6,0,"['cwe-020', 'cwe-377', 'cwe-378']",Deployment
Azure,k8s-lint,Azure/k8s-lint,Azure-k8s-lint-results.json,0,0,0,0,0,0,[],Code Review
Azure,k8s-set-context,Azure/k8s-set-context,Azure-k8s-set-context-results.json,0,0,0,0,0,0,[],Deployment
Azure,mysql,Azure/mysql,Azure-mysql-results.json,2,0,0,0,2,0,"['cwe-1333', 'cwe-400', 'cwe-730']",Deployment
Azure,pipelines,Azure/pipelines,Azure-pipelines-results.json,1,0,0,0,1,0,"['cwe-020', 'cwe-080', 'cwe-116']",Deployment
Balastrong,chess-stats-action,Balastrong/chess-stats-action,Balastrong-chess-stats-action-results.json,2,0,0,1,1,0,"['cwe-020', 'cwe-434', 'cwe-912']",Utilities
BetaHuhn,deploy-to-vercel-action,BetaHuhn/deploy-to-vercel-action,BetaHuhn-deploy-to-vercel-action-results.json,1,0,0,0,1,0,['cwe-020'],Deployment
Bhacaz,docs-as-code-confluence,Bhacaz/docs-as-code-confluence,Bhacaz-docs-as-code-confluence-results.json,2,0,0,0,2,0,"['cwe-020', 'cwe-080', 'cwe-116']",Utilities
Chocobo1,setup-ccache-action,Chocobo1/setup-ccache-action,Chocobo1-setup-ccache-action-results.json,13,0,0,2,11,0,"['cwe-020', 'cwe-078', 'cwe-080', 'cwe-088', 'cwe-116', 'cwe-400', 'cwe-730']",Utilities
CircleCI-Public,trigger-circleci-pipeline-action,CircleCI-Public/trigger-circleci-pipeline-action,CircleCI-Public-trigger-circleci-pipeline-action-results.json,1,0,0,0,1,0,['cwe-020'],Deployment
Cyberbeni,install-swift-tool,Cyberbeni/install-swift-tool,Cyberbeni-install-swift-tool-results.json,2,0,0,0,2,0,"['cwe-400', 'cwe-730']",Utilities
CycloneDX,gh-node-module-generatebom,CycloneDX/gh-node-module-generatebom,CycloneDX-gh-node-module-generatebom-results.json,1,0,0,1,0,0,"['cwe-078', 'cwe-088']",Security
DataDog,synthetics-ci-github-action,DataDog/synthetics-ci-github-action,DataDog-synthetics-ci-github-action-results.json,7,0,0,2,5,0,"['cwe-020', 'cwe-080', 'cwe-116']",Testing
DavideViolante,pr-reviews-reminder-action,DavideViolante/pr-reviews-reminder-action,DavideViolante-pr-reviews-reminder-action-results.json,0,0,0,0,0,0,[],Code Review
DeLaGuardo,setup-clojure,DeLaGuardo/setup-clojure,DeLaGuardo-setup-clojure-results.json,32,0,0,2,5,25,"['cwe-020', 'cwe-078', 'cwe-088', 'cwe-259', 'cwe-321', 'cwe-338', 'cwe-400', 'cwe-730', 'cwe-798']",Utilities
DependencyTrack,gh-upload-sbom,DependencyTrack/gh-upload-sbom,DependencyTrack-gh-upload-sbom-results.json,1,0,0,1,0,0,['cwe-200'],Security
DevCycleHQ,feature-flag-code-usage-action,DevCycleHQ/feature-flag-code-usage-action,DevCycleHQ-feature-flag-code-usage-action-results.json,2,0,0,0,1,1,"['cwe-020', 'cwe-259', 'cwe-321', 'cwe-798']",Code Review
DevCycleHQ,feature-flag-pr-insights-action,DevCycleHQ/feature-flag-pr-insights-action,DevCycleHQ-feature-flag-pr-insights-action-results.json,1,0,0,0,1,0,['cwe-020'],Code Review
DopplerHQ,cli-action,DopplerHQ/cli-action,DopplerHQ-cli-action-results.json,0,0,0,0,0,0,[],Security
ExpediaGroup,github-helpers,ExpediaGroup/github-helpers,ExpediaGroup-github-helpers-results.json,11,0,0,4,7,0,"['cwe-020', 'cwe-080', 'cwe-116']",Utilities
ExpediaGroup,spinnaker-pipeline-trigger,ExpediaGroup/spinnaker-pipeline-trigger,ExpediaGroup-spinnaker-pipeline-trigger-results.json,1,0,0,0,1,0,['cwe-020'],Project Management
GrantBirki,git-diff-action,GrantBirki/git-diff-action,GrantBirki-git-diff-action-results.json,2,0,0,1,1,0,"['cwe-020', 'cwe-078', 'cwe-088']",Utilities
